t,x,y,z,w,w_pred,v,q
10.78,-30.0,-6.044802,0.8,1.6,1.6,50.0,0.0
10.79,-30.0,-5.974799,0.8,1.6,1.6,50.0,0.0
10.8,-30.0,-5.904795,0.8,1.6,1.6,50.0,0.0
10.81,-30.0,-5.834792,0.8,1.6,1.6,50.0,0.0
10.82,-30.0,-5.764788,0.8,1.6,1.6,50.0,0.0
10.83,-30.0,-5.694785,0.8,1.6,1.6,50.0,0.0
10.84,-30.0,-5.624781,0.8,1.6,1.6,50.0,0.0
10.85,-30.0,-5.554778,0.8,1.6,1.6,50.0,0.0
10.86,-30.0,-5.484774,0.8,1.6,1.6,50.0,0.0
10.87,-30.0,-5.414771,0.8,1.6,1.6,50.0,0.0
10.88,-30.0,-5.344767,0.8,1.6,1.6,50.0,0.0
10.89,-30.0,-5.274764,0.8,1.6,1.6,50.0,0.0
10.9,-30.0,-5.20476,0.8,1.6,1.6,50.0,0.0
10.91,-30.0,-5.134757,0.8,1.6,1.6,50.0,0.0
10.92,-30.0,-5.064753,0.8,1.6,1.6,50.0,0.0
10.93,-30.0,-4.99475,0.8,1.6,1.6,50.0,0.0
10.94,-30.0,-4.924746,0.8,1.6,1.6,50.0,0.0
10.95,-30.0,-4.854743,0.8,1.6,1.6,50.0,0.0
10.96,-30.0,-4.784739,0.8,1.6,1.6,50.0,0.0
10.97,-30.0,-4.714736,0.8,1.6,1.6,50.0,0.0
10.98,-30.0,-4.644732,0.8,1.6,1.6,50.0,0.0
10.99,-30.0,-4.574729,0.8,1.6,1.6,50.0,0.0
11.0,-30.0,-4.504725,0.8,1.6,1.6,50.0,0.0
11.01,-30.0,-4.434722,0.8,1.6,1.6,50.0,0.0
11.02,-30.0,-4.364718,0.8,1.6,1.6,50.0,0.0
11.03,-30.0,-4.294715,0.8,1.6,1.6,50.0,0.0
11.04,-30.0,-4.224711,0.8,1.6,1.6,50.0,0.0
11.05,-30.0,-4.154708,0.8,1.6,1.6,50.0,0.0
11.06,-30.0,-4.084704,0.8,1.6,1.6,50.0,0.0
11.07,-30.0,-4.014701,0.8,1.6,1.6,50.0,0.0
11.08,-30.0,-3.944697,0.8,1.6,1.6,50.0,0.0
11.09,-30.0,-3.874694,0.8,1.6,1.6,50.0,0.0
11.1,-30.0,-3.80469,0.8,1.6,1.6,50.0,0.0
11.11,-30.0,-3.734687,0.8,1.6,1.6,50.0,0.0
11.12,-30.0,-3.664683,0.8,1.6,1.6,50.0,0.0
11.13,-30.0,-3.59468,0.8,1.6,1.6,50.0,0.0
11.14,-30.0,-3.524676,0.8,1.6,1.6,50.0,0.0
11.15,-30.0,-3.454673,0.8,1.6,1.6,50.0,0.0
11.16,-30.0,-3.384669,0.8,1.6,1.6,50.0,0.0
11.17,-30.0,-3.314666,0.8,1.6,1.6,50.0,0.0
